I1130 18:11:16.751761       1 git.go:400] repo porch-test-1701367864418973/delete-and-recreate: 0 draftCache, 1 draftLoaded, 0 tagCache, 0 tagLoaded, 1 mainCache, 0 mainLoaded
I1130 18:11:16.751806       1 store.go:138] Creating packagerev porch-test-1701367864418973/delete-and-recreate-e92b26f0e6525dfcba06624ccf5f8754c8b64573
I1130 18:11:16.762435       1 repository.go:549] repo porch-test-1701367864418973/delete-and-recreate: addMeta 1, delMeta 0, addSent 0, modSent 0, delSent 0 for 1 in-cache and 2 in-storage package revisions
I1130 18:11:16.762459       1 repository.go:379] repo porch-test-1701367864418973/delete-and-recreate: reconcile for close-draft finished in 0.030684 secs
I1130 18:11:16.762492       1 store.go:138] Creating packagerev porch-test-1701367864418973/delete-and-recreate-e92b26f0e6525dfcba06624ccf5f8754c8b64573
I1130 18:11:16.776644       1 store.go:185] Updating packagerev porch-test-1701367864418973/delete-and-recreate-e92b26f0e6525dfcba06624ccf5f8754c8b64573
I1130 18:11:16.784195       1 engine.go:346] engine: sent 0 for new PackageRevision porch-test-1701367864418973/delete-and-recreate-e92b26f0e6525dfcba06624ccf5f8754c8b64573
I1130 18:11:16.942612       1 background.go:140] Repository deleted: porch-test-1701367864418973:delete-and-recreate
I1130 18:11:16.951403       1 repository.go:307] repo porch-test-1701367864418973/delete-and-recreate: deleting packagerev porch-test-1701367864418973/delete-and-recreate-ea94fb01093e24716c93d22a4669b5b47915eea1 because repository is closed
I1130 18:11:16.964418       1 store.go:185] Updating packagerev porch-test-1701367864418973/delete-and-recreate-ea94fb01093e24716c93d22a4669b5b47915eea1
W1130 18:11:17.012346       1 repository.go:323] Error deleting PackageRev CR porch-test-1701367864418973/delete-and-recreate-ea94fb01093e24716c93d22a4669b5b47915eea1: Operation cannot be fulfilled on packagerevs.config.porch.kpt.dev "delete-and-recreate-ea94fb01093e24716c93d22a4669b5b47915eea1": the object has been modified; please apply your changes to the latest version and try again
I1130 18:11:17.012414       1 repository.go:307] repo porch-test-1701367864418973/delete-and-recreate: deleting packagerev porch-test-1701367864418973/delete-and-recreate-e92b26f0e6525dfcba06624ccf5f8754c8b64573 because repository is closed
I1130 18:11:17.042788       1 store.go:185] Updating packagerev porch-test-1701367864418973/delete-and-recreate-e92b26f0e6525dfcba06624ccf5f8754c8b64573
I1130 18:11:17.071973       1 store.go:209] Deleting packagerev porch-test-1701367864418973/delete-and-recreate-e92b26f0e6525dfcba06624ccf5f8754c8b64573
I1130 18:11:17.082806       1 repository.go:331] repo porch-test-1701367864418973/delete-and-recreate: sent 0 notifications for 2 package revisions during close
I1130 18:11:30.421588       1 watchermanager.go:105] added watcher 0xc00278ccc0; there are now 1 active watchers and 1 slots
I1130 18:11:30.507422       1 watch.go:201] watch 0xc0016cac60: moving watch into streaming mode after sentAdd 0, sentBacklog 0, sentNewBacklog 0
